,T_cpu,fan.T_air,fan.tension,working
0,43.09535600252171,17.7,6.0,False
1,43.87773447284526,23.7,6.0,False
2,42.62592892032758,14.1,6.0,False
3,42.117382914617274,10.2,6.0,False
4,41.45236121484226,5.1,6.0,False
5,41.72619367945549,7.199999999999999,6.0,False
6,44.38628047855559,27.599999999999998,6.0,False
7,40.787339515067245,0.0,6.0,False
8,42.66504784384376,14.399999999999999,6.0,False
9,43.56478308471585,21.3,6.0,False
10,43.36918846713496,19.8,6.0,False
11,44.19068586097469,26.099999999999998,6.0,False
12,41.21764767374519,3.3,6.0,False
13,42.704166767359936,14.7,6.0,False
14,43.99509124339379,24.599999999999998,6.0,False
15,44.42539940207175,27.9,6.0,False
16,41.022053056164296,1.7999999999999998,6.0,False
17,43.01711815548936,17.099999999999998,6.0,False
18,41.80443152648785,7.8,6.0,False
19,43.525664161199664,21.0,6.0,False
20,43.85872061522971,27.599999999999998,6.0,True
21,42.00339553268341,16.2,6.0,True
22,41.03069398267149,6.0,6.0,True
23,41.117031064720656,6.6,6.0,True
24,41.38683526091226,9.6,6.0,True
25,40.408418597292105,1.7999999999999998,6.0,True
26,40.81485127754857,4.5,6.0,True
27,40.94435690062233,5.3999999999999995,6.0,True
28,42.83079326077985,21.3,6.0,True
29,43.42178508634758,24.9,6.0,True
30,40.53829824249881,2.6999999999999997,6.0,True
31,44.19855935991578,29.7,6.0,True
32,42.14940689646513,17.099999999999998,6.0,True
33,40.858019818573155,4.8,6.0,True
34,41.96642208648338,13.5,6.0,True
35,41.47600246484627,10.2,6.0,True
36,41.609753270747305,11.1,6.0,True
37,42.587440987810304,19.8,6.0,True
38,40.72851419549941,3.9,6.0,True
39,42.011005688450396,13.799999999999999,6.0,True
40,41.5651696687803,10.799999999999999,6.0,True
41,42.63611144240421,20.099999999999998,6.0,True
42,41.76004325971387,14.7,6.0,True
43,42.29541826024685,18.0,6.0,True
44,40.36512538222321,1.5,6.0,True
45,41.65433687271431,11.4,6.0,True
46,40.14865930687871,0.0,6.0,True
47,43.081946341661485,22.8,6.0,True
48,40.642177113450245,3.3,6.0,True
49,42.93630116536745,21.9,6.0,True
50,43.761623831033674,27.0,6.0,True
51,41.20850085304422,8.4,6.0,True
52,40.321832167154305,1.2,6.0,True
53,41.85738416890168,15.299999999999999,6.0,True
54,43.5188818705436,25.5,6.0,True
55,41.28970522881899,7.8,6.0,True
56,40.191952521947606,0.3,6.0,True
57,41.297668056978225,9.0,6.0,True
58,43.32468830215156,24.3,6.0,True
59,42.5387705332164,19.5,6.0,True
60,41.2465366877944,7.5,6.0,True
61,44.10146257571975,29.099999999999998,6.0,True
62,43.95581739942571,28.2,6.0,True
63,41.332873769843566,8.1,6.0,True
64,41.92183848451637,13.2,6.0,True
65,40.2352457370165,0.6,6.0,True
66,40.771682736524,4.2,6.0,True
67,41.16019960574524,6.8999999999999995,6.0,True
68,42.88775277326946,21.599999999999998,6.0,True
69,40.451711812361026,2.1,6.0,True
70,42.78212280618593,21.0,6.0,True
71,40.987525441646916,5.7,6.0,True
72,43.27613991005354,24.0,6.0,True
73,42.98484955746548,22.2,6.0,True
74,43.22759151795553,23.7,6.0,True
75,41.74350407664833,12.0,6.0,True
76,42.44142962402858,18.9,6.0,True
77,40.90118835959775,5.1,6.0,True
78,42.49010007862249,19.2,6.0,True
79,41.83267128058234,12.6,6.0,True
80,44.19628796604743,30.0,6.0,True
81,41.20336814676982,7.199999999999999,6.0,True
82,44.05291418362172,28.799999999999997,6.0,True
83,41.698920474681316,11.7,6.0,True
84,42.055589290417394,14.1,6.0,True
85,40.59900857242567,3.0,6.0,True
86,41.07386252369608,6.3,6.0,True
87,42.344088714840765,18.3,6.0,True
88,41.71137280511995,14.399999999999999,6.0,True
89,42.684781896998125,20.4,6.0,True
90,43.567430262641615,25.8,6.0,True
91,43.03339794956348,22.5,6.0,True
92,40.49500502742991,2.4,6.0,True
93,41.342251658945244,9.299999999999999,6.0,True
94,43.71307543893565,26.7,6.0,True
95,42.19807735105904,17.4,6.0,True
96,41.80871371430778,15.0,6.0,True
97,41.78808767861533,12.299999999999999,6.0,True
98,43.81017222313168,27.3,6.0,True
99,43.470333478445596,25.2,6.0,True
